year,month,month_name,total_records,expected_bars,completeness_pct,native_m5,native_m5_pct,aggregated_m1,aggregated_m1_pct,imputed,imputed_pct
2020,2,February,92,0,0,0,0.0,0,0.0,0,0.0
2020,3,March,1901,0,0,0,0.0,0,0.0,0,0.0
2020,4,April,1923,0,0,0,0.0,0,0.0,0,0.0
2020,5,May,1901,0,0,0,0.0,0,0.0,0,0.0
2020,6,June,2012,0,0,0,0.0,0,0.0,0,0.0
2020,7,July,2088,0,0,0,0.0,0,0.0,0,0.0
2020,8,August,1920,0,0,0,0.0,0,0.0,0,0.0
2020,9,September,1996,0,0,0,0.0,0,0.0,0,0.0
2020,10,October,2009,0,0,0,0.0,0,0.0,0,0.0
2020,11,November,1892,0,0,0,0.0,0,0.0,0,0.0
2020,12,December,2000,0,0,0,0.0,0,0.0,0,0.0
2021,1,January,1813,0,0,0,0.0,0,0.0,0,0.0
2021,2,February,1813,0,0,0,0.0,0,0.0,0,0.0
2021,3,March,2104,0,0,0,0.0,0,0.0,0,0.0
2021,4,April,2780,0,0,0,0.0,0,0.0,0,0.0
2021,5,May,2838,0,0,0,0.0,0,0.0,0,0.0
2021,6,June,2998,0,0,0,0.0,0,0.0,0,0.0
2021,7,July,2972,0,0,0,0.0,0,0.0,0,0.0
2021,8,August,2998,0,0,0,0.0,0,0.0,0,0.0
2021,9,September,2975,0,0,0,0.0,0,0.0,0,0.0
2021,10,October,2857,0,0,0,0.0,0,0.0,0,0.0
2021,11,November,2957,0,0,0,0.0,0,0.0,0,0.0
2021,12,December,2998,0,0,0,0.0,0,0.0,0,0.0
2022,1,January,2834,0,0,0,0.0,0,0.0,0,0.0
2022,2,February,2726,0,0,0,0.0,0,0.0,0,0.0
2022,3,March,3174,0,0,0,0.0,0,0.0,0,0.0
2022,4,April,2760,0,0,0,0.0,0,0.0,0,0.0
2022,5,May,3012,0,0,0,0.0,0,0.0,0,0.0
2022,6,June,3012,0,0,0,0.0,0,0.0,0,0.0
2022,7,July,2874,0,0,0,0.0,0,0.0,0,0.0
2022,8,August,3170,0,0,0,0.0,0,0.0,0,0.0
2022,9,September,3860,0,0,0,0.0,0,0.0,0,0.0
2022,10,October,3860,0,0,0,0.0,0,0.0,0,0.0
2022,11,November,5151,0,0,0,0.0,0,0.0,0,0.0
2022,12,December,5791,0,0,0,0.0,0,0.0,0,0.0
2023,1,January,5742,0,0,0,0.0,0,0.0,0,0.0
2023,2,February,5467,0,0,0,0.0,0,0.0,0,0.0
2023,3,March,6343,0,0,0,0.0,0,0.0,0,0.0
2023,4,April,5424,0,0,0,0.0,0,0.0,0,0.0
2023,5,May,6296,0,0,0,0.0,0,0.0,0,0.0
2023,6,June,6017,0,0,0,0.0,0,0.0,0,0.0
2023,7,July,5701,0,0,0,0.0,0,0.0,0,0.0
2023,8,August,6344,0,0,0,0.0,0,0.0,0,0.0
2023,9,September,5744,0,0,0,0.0,0,0.0,0,0.0
2023,10,October,6068,0,0,0,0.0,0,0.0,0,0.0
2023,11,November,5977,0,0,0,0.0,0,0.0,0,0.0
2023,12,December,5216,0,0,0,0.0,0,0.0,0,0.0
2024,1,January,6019,0,0,0,0.0,0,0.0,0,0.0
2024,2,February,5738,0,0,0,0.0,0,0.0,0,0.0
2024,3,March,5516,0,0,0,0.0,0,0.0,0,0.0
2024,4,April,6068,0,0,0,0.0,0,0.0,0,0.0
2024,5,May,6295,0,0,0,0.0,0,0.0,0,0.0
2024,6,June,5469,0,0,0,0.0,0,0.0,0,0.0
2024,7,July,6253,0,0,0,0.0,0,0.0,0,0.0
2024,8,August,6067,0,0,0,0.0,0,0.0,0,0.0
2024,9,September,5745,0,0,0,0.0,0,0.0,0,0.0
2024,10,October,6332,0,0,0,0.0,0,0.0,0,0.0
2024,11,November,5701,0,0,0,0.0,0,0.0,0,0.0
2024,12,December,5748,0,0,0,0.0,0,0.0,0,0.0
2025,1,January,5931,0,0,0,0.0,0,0.0,0,0.0
2025,2,February,5468,0,0,0,0.0,0,0.0,0,0.0
2025,3,March,5778,0,0,0,0.0,0,0.0,0,0.0
2025,4,April,5796,0,0,0,0.0,0,0.0,0,0.0
2025,5,May,6024,0,0,0,0.0,0,0.0,0,0.0
2025,6,June,5748,0,0,0,0.0,0,0.0,0,0.0
2025,7,July,1562,0,0,0,0.0,0,0.0,0,0.0
